int_id,breast,glia,cervix,colorectal,endometrium,testes,thyroid,kidney,liver,lung,lymph,pancreas,prostate,skin,melanocyte,stomach,urinary,head.and.neck,ovary,norm.carcinoid
5465,1,0.3333333333333333,1.5,1.3333333333333333,1.25,1.75,1,0.5,0.5,0,0,0.5,1,1.6666666666666667,2,0.5,1,1.6666666666666667,0,0.8571428571428571
5466,1,2.3333333333333335,1,2.3333333333333335,1.75,2.25,3,1.5,1,2,2.5,2,3,1,2,2,2,2,1,2.142857142857143
5467,1.5,0.6666666666666666,2.5,2.3333333333333335,1.75,2.25,2,2.5,2,1,2.5,2,2,2,3,3,2,2.3333333333333335,0,2.1666666666666665
5468,0.5,0,0,1,0.25,0.75,1,0,0,0,1,0.5,1,0,0,0,0,0,0,0.8571428571428571
5469,0,1.3333333333333333,0,0.6666666666666666,0,1.5,1,1,0,0,0.5,1,1,0.3333333333333333,0,1,1,1,0,0.7142857142857143
5470,1,2.3333333333333335,2.5,2.6666666666666665,2.5,2.5,3,3,1.5,2,2,2.5,2,2.6666666666666665,3,3,3,2.6666666666666665,1,2.4285714285714284
5471,0,0,1,1.3333333333333333,0.5,1,1,1.5,0.5,0,0,0.5,1,1,0,2,1,1,0,0.8571428571428571
5472,2.5,1.6666666666666667,3,2.3333333333333335,2.75,2.75,3,2.5,2,3,2,2.5,2,2.6666666666666665,3,3,3,3,2,2.3333333333333335
5473,1.5,0.6666666666666666,2.5,2.6666666666666665,2.25,3,3,2.5,2,1,3,3,2,2,2,3,3,2.3333333333333335,1,2.5
5474,0,0,0,1.3333333333333333,0.75,1.5,0,1,1.5,0,0,0.5,1,1.3333333333333333,2,0.5,0,0,2,1.4285714285714286
5475,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5476,0,0,0,0.6666666666666666,0.25,0.75,1,0.5,0,0,0,0,0,1,1,0.5,0,1,0,0.16666666666666666
5477,1,0.6666666666666666,2,2.6666666666666665,3,2.75,2,2.5,0.5,2,2.5,2.5,3,2.3333333333333335,2,2,2,2.3333333333333335,2,2.5714285714285716
5478,0.5,0,2,1.3333333333333333,0.5,1.3333333333333333,1,0,0,0,1.5,1.5,0,1.3333333333333333,0,2,1,0.3333333333333333,0,1.2857142857142858
5479,1,0,1,1.3333333333333333,1.5,1,2,1,0.5,1,0.5,1,1,1,1,1.5,1,1,0,1.2857142857142858
5480,0,0.6666666666666666,0,0.6666666666666666,0.25,0.75,0,0.5,0,0,0,1,0,1,0.75,2,1,1,0,0.42857142857142855
5481,0,0,0,1,0.75,1.25,0,1,0,0,0,1.5,0,0,0,2,0,0.3333333333333333,0,1
5482,2.5,1.6666666666666667,3,2.6666666666666665,2.25,2.75,3,2.5,2,2,2,2.5,3,2.6666666666666665,3,3,3,3,0,2.4285714285714284
5483,2.5,1.3333333333333333,1.5,2,1,1.75,2,3,0.5,1,1.5,2.5,2,1.6666666666666667,3,2,2,2.3333333333333335,2,2.2857142857142856
5484,2,0,2.5,2.6666666666666665,1.25,3,3,2.5,1.5,1,2,2,2,2,2,3,3,2,1,2.4285714285714284
5485,1,0.6666666666666666,2,2,1.5,2,1,2,1.5,2,1.5,1.5,2,2.6666666666666665,3,2,2,2.3333333333333335,0,1.7142857142857142
5486,0,0.3333333333333333,1.5,0.6666666666666666,0.75,1.5,1,1.5,0.5,2,0,1,0,1,0,1,2,2,0,0.5714285714285714
5487,2.5,3,3,2.3333333333333335,2.75,2.5,3,2,1,2,2,0.5,1,2.3333333333333335,2,2.5,3,3,2,1.5714285714285714
5488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5489,1,0.3333333333333333,2,2,0.75,1.25,1,2,0.5,1,0,1.5,2,2,2,1.5,2,2,0,1.8571428571428572
5490,0,1.3333333333333333,1,0.3333333333333333,0,1,1,1,0,2,2.5,0,0,0,0,0.5,0,1.3333333333333333,0,0.2857142857142857
5491,0,0,0,0.6666666666666666,0,0.75,1,0.5,0,0,0.5,1,0,1,1,1,1,0.6666666666666666,0,0.42857142857142855
5492,1,1.3333333333333333,2,2,2,2,2,2.5,2,2,2.5,2,2,2,2,2,2,2,2,2
5493,1,0,2,2,1,1,2,0.5,1,3,0,1.5,1,1,0,2,3,1.6666666666666667,0,1.4285714285714286
5494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5495,1,0,2,2.6666666666666665,1,2.25,2,2,1,1,2,2,2,1.6666666666666667,2,3,3,2.3333333333333335,1,2.4
5496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5497,0,0,0,1.6666666666666667,0,1.5,1,1.5,1.5,2,0.5,1,0,0.3333333333333333,0,0,0,0,0,1.1428571428571428
5498,2.5,2.6666666666666665,3,2.6666666666666665,2.75,3,3,2.5,3,3,3,3,3,2.6666666666666665,3,3,3,3,3,2.5714285714285716
5499,0.5,0,0.5,1.3333333333333333,0.5,0.75,1,1,0.5,0,0,1,1,0.6666666666666666,0,3,1,0.6666666666666666,0,1.1428571428571428
5500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5501,0.5,1.3333333333333333,1.5,1.6666666666666667,0.5,2,2,0.5,1.5,0,2,1.5,1,1.3333333333333333,2,1.5,1,2,0,1.4285714285714286
5502,0.5,0,0.5,1.3333333333333333,0.75,1.25,1,1.5,0.5,0,1,0,2,1.3333333333333333,2,2,1,1.6666666666666667,0,1.1428571428571428
5503,2,0.6666666666666666,2.5,1.6666666666666667,1.25,2.5,3,1,1.5,0,2,2,2,1.6666666666666667,2,2,3,1.6666666666666667,0,1.8333333333333333
5504,0,0,0,0.6666666666666666,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.3333333333333333
5505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5506,0.5,0,1.5,2,0,1,0,1,0,0,0,1,1,1.3333333333333333,2,1,1,1.6666666666666667,0,1.5
5507,1.5,0,0,0.3333333333333333,0,1.25,1,0,0,0,0,0,1,0,0,0,1,0,0,0.3333333333333333
